id,nom,prenom,sexe,date_naissance,categorie_pro,email,salaire_brut,date_embauche,secu_sociale
1000,Colas,Antoine,M,1999-12-24,Alternant,antoine.colas@barbier.org,23090,2024-05-14 00:00:00,158046912327970
1001,Barbier,Laurent,M,1963-11-10,Technicien,laurent.barbier@lesage.fr,43062,2019-01-03 00:00:00,00000000
1002,Lebreton,Simone,F,1986-02-02,Cadre,simone.lebreton,53508,2018-05-12 00:00:00,272043930000654
1003,Chauveau,André,M,1978-05-21,Ouvrier,andré.chauveau@michel.com,23665,2024-04-24 00:00:00,237055626001592
1004,Perez,Hélène,F,1996-05-29,Alternant,hélène.perez@didier.org,17588,2020-02-18 00:00:00,149070240802091
1005,Le Roux,Laurence,F,1963-06-15,Technicien,laurence.le roux@garcia.com,24456,2020-02-29 00:00:00,215041501446474
1006,Ferrand,Vincent,M,1977-09-26,Ouvrier,vincent.ferrand@lecomte.net,-22665,2019-10-20 00:00:00,245054410918618
1007,Carlier,Michelle,F,2001-04-26,Alternant,michelle.carlier@meunier.fr,22870,2023-06-15 00:00:00,235098400787916
1008,Morin,Yves,M,1982-03-11,Ouvrier,yves.morin@grondin.org,32276,2019-05-29 00:00:00,
1009,Chrétien,Margaret,F,1988-03-27,Technicien,margaret.chrétien@roy.com,27742,2019-10-21 00:00:00,247016748207290
1010,Fernandes,Alain,M,1973-04-24,Technicien,alain.fernandes,31653,2019-07-23 00:00:00,179037401044379
1011,Mendès,Paul,M,1994-12-27,Ouvrier,paul.mendès@ruiz.com,22606,2021-06-29 00:00:00,107078708544697
1012,Fernandez,Philippine,F,2002-01-22,Ouvrier,philippine.fernandez@baudry.fr,27082,2020-01-31 00:00:00,291129300846085
1013,Bigot,Raymond,M,1998-01-23,Cadre,raymond.bigot@valentin.fr,96819,2022-06-14 00:00:00,113039122851030
1014,Andre,Marguerite,F,1991-12-06,Cadre,marguerite.andre@dijoux.com,81049,,288097864654486
1015,Mendès,Yves,M,1962-09-03,Ouvrier,yves.mendès@goncalves.com,44479,2024-05-26 00:00:00,204092722906046
1016,Colas,Sophie,F,1982-08-20,Technicien,sophie.colas@salmon.com,32436,2020-01-17 00:00:00,239063818533697
1017,Lacroix,Martin,M,1980-11-08,Technicien,martin.lacroix@martins.fr,30265,2019-11-09 00:00:00,00000000
1018,Jean,Benoît,M,1980-02-01,Technicien,benoît.jean@pineau.net,41754,2021.03.22,241033306370183
1019,Bigot,Christophe,M,2004-09-24,Alternant,christophe.bigot@fleury.com,24086,2024-05-31 00:00:00,175029761173339
1020,Guillou,Marie,F,1973-01-14,Cadre,marie.guillou@bodin.com,115611,2022-07-15 00:00:00,120076311398587
1021,Maillot,Laurence,F,1974-09-24,Cadre,laurence.maillot@delorme.com,91267,2020-05-22 00:00:00,253112123193805
1022,Cousin,Arthur,M,1988-01-10,Ouvrier,arthur.cousin@marechal.com,25676,2023-12-17 00:00:00,272085110849125
