telephone,nom_complet,email,points_fidelite
01 45 64 73 83,Thibaut Legendre,,209
+33257259392,Weiss Joséphine,joséphine.weiss@tele2.fr,155
0524435628,Morin Suzanne,suzanne.morin@tiscali.fr,81
04.77.45.43.11,Rey Grégoire,,320
01 78 29 66 81,FOURNIER CATHERINE,,369
01.77.18.06.80,Laetitia Delorme,,397
04.26.98.02.22,Margaud Picard,,39
01 73 33 52 09,Danielle Bruneau,danielle.bruneau@sfr.fr,169
04.78.26.08.64,Chevalier Olivie,,255
02 90 85 25 22,Noémi Henry,,332
03.68.96.41.92,Reynaud Astrid,,446
0383886861,Chauveau Arthur,arthur.chauveau@laposte.net,78
05.67.15.00.65,Gilbert Joseph,gilbert.joseph@laposte.net,187
02 37 07 20 53,René Marion,,48
02 78 62 96 43,GUIBERT GILLES,gilles.guibert@club-internet.fr,233
0158895749,JACOB AIMÉ,,360
+33(0)258131020,MANON LEMAIRE,,443
03.72.27.79.65,ANTOINE PERROT,antoine.perrot@gmail.com,464
352358120,GOSSELIN RAYMOND,raymond.gosselin@laposte.net,224
05.08.05.49.97,MICHEL LUCIE,,299
457005677,Clerc Gérard,gérard.clerc@wanadoo.fr,394
02 34 06 55 07,Barbe Charlotte,,465
245904228,Alice Guyot,alice.guyot@yahoo.fr,227
03.70.32.14.50,Élise Nicolas,élise.nicolas@live.com,390
465408499,Boyer Juliette,juliette.boyer@ifrance.com,134
04.77.93.05.31,Margot Hervé,,86
01 48 71 26 18,PHILIPPE KLEIN,,325
03 28 79 56 88,LUCE FERNANDES,,465
361449449,Gilles Gilbert,gilbert.gilles@club-internet.fr,352
02 77 28 59 99,CHARRIER SUZANNE,,367
02 38 83 54 33,Jean Cordier,,97
03 26 73 86 16,Noémi Chevallier,,228
01.69.46.78.77,ANASTASIE BARBE,,136
03 26 60 95 00,Marie Leroux,marie.leroux@voila.fr,222
03.70.27.99.83,Emmanuel Blondel,,288
540908559,Grenier Valentine,,82
0562503008,CLÉMENT THIERRY,,373
05.40.17.77.64,Marianne Raynaud,,26
03 86 29 72 91,Lenoir André,,375
05.24.70.40.72,Valérie Berthelot,,199
466972672,Laine Claudine,,206
+33219723366,Alexandria Peltier,,267
320805357,Schneider Denis,denis.schneider@bouygtel.fr,74
0310869025,Joly Christelle,,327
0413328758,Odette Vasseur,,252
361772840,Jeanne Moreau,,255
517798574,ALAIN GEORGES,alain.georges@gmail.com,195
03.79.79.00.60,Michelle Daniel,,316
03.64.90.16.88,André Monnier,andré.monnier@tiscali.fr,192
02 85 03 95 27,LAURE COLLET,laure.collet@laposte.net,218
04.69.04.24.70,Bouvet Émilie,,267
240959596,Martinez Dominique,,281
04.98.69.79.07,CHEVALLIER CÉLINA,,447
05.64.19.41.48,Noël Rodrigues,,157
0379346996,MACE AUDREY,audrey.mace@voila.fr,262
499419365,Capucine Maury,capucine.maury@ifrance.com,171
321223948,LEJEUNE RAYMOND,,75
01.69.23.97.23,Georges Philippe,,152
04 71 43 07 65,Christiane Dupuis,,411
05.31.11.73.95,OLIVIER DIAS,olivier.dias@ifrance.com,393
04 93 02 22 64,MAILLOT DENIS,,385
05 17 62 62 54,SAMSON NICOLE,,40
+33470990012,CLÉMENCE PRUVOST,,440
05.65.78.59.09,Martel Aurélie,,263
+33(0)540182654,Josette Bernard,,362
02 44 84 25 48,Jean Perrot,,157
0558921603,Suzanne Bertrand,suzanne.bertrand@free.fr,163
430762142,SUZANNE VALETTE,,252
+33237335130,Lenoir Juliette,,192
02.18.51.57.70,Marianne Jacquet,,87
03.26.87.80.86,Michel Gautier,michel.gautier@tele2.fr,281
04 30 27 86 03,Sabine Maillard,,104
04.66.32.78.71,Jean Gaillard,,236
253385660,André Hernandez,,441
+33(0)327692895,LAURENT CLÉMENCE,,199
0545910638,Marion Suzanne,,312
+33389826733,Dijoux Marie,,346
03 56 61 37 84,ROBIN MARTIN,martin.robin@dbmail.com,12
01.34.43.96.96,Maryse Rocher,,172
+33(0)299207678,Thierry Louise,,196
03 24 20 21 24,Berthelot Olivie,,202
149757597,Neveu Virginie,,54
222444316,SÉBASTIEN LEGENDRE,,273
01 42 72 51 51,Andrée Denis,,205
+33376141748,Christelle Denis,,361
02.46.55.72.35,Ribeiro Lucie,,183
03 56 47 45 62,Alexandria Navarro,,467
01.39.15.06.93,Margaud Paris,margaud.paris@free.fr,418
05.46.77.95.14,ARTHUR SCHMITT,,248
0321127984,Tessier Bernard,,218
03.85.03.86.23,Picard Margaret,margaret.picard@free.fr,245
05 53 44 13 15,Rossi Noël,,428
03 73 50 57 74,JOSETTE LAROCHE,josette.laroche@club-internet.fr,114
+33(0)252046658,Guilbert Denis,denis.guilbert@ifrance.com,64
485934173,BERNIER PÉNÉLOPE,,445
04 57 28 87 65,Clémence Fleury,,151
272879220,Letellier Honoré,,473
03.73.37.31.17,ALEXANDRIE LECONTE,alexandrie.leconte@wanadoo.fr,197
07.67.60.71.17,ALEXANDRIE POTTIER,,125
298493256,Rolland Virginie,virginie.rolland@yahoo.fr,361
01.40.58.37.28,FRANÇOIS PICHON,,367
+33278326882,Weiss Marthe,,323
372537052,Weiss Timothée,,439
+33564489617,EUGÈNE GUILBERT,,217
03 79 71 34 47,GENEVIÈVE MERLE,,225
03 54 98 56 92,Anastasie Laporte,,199
