trans_id,sender_iban,receiver_iban,amount,timestamp,ip_address,merchant_cat
TXN-11340,FR7930143995471032680335192,FR5990856156643904377153630,6034.05,2025-05-30 05:36:26,26.249.247.38,Gambling
TXN-7150,FR7686473949416109080616011,FR7375840033785714765520817,7913.31,2025-10-10 16:31:11,192.168.X.X,Restaurant
TXN-5283,FR6527994952799181069280880,FR2319347606105275314636651,558.26,2025-10-22 11:01:46,110.251.233.178,
TXN-14184,FR7332836524938124066139607,FR2039100657659408834113150,6049.03,2025-05-11 01:46:05,79.45.84.196,Supermarket
TXN-13024,FR7757585139521458473448126,FR0489730642454575062420215,,2025-07-27 10:36:19,38.88.23.119,Restaurant
TXN-5596,FR7872503555369542778475983,FR2919923647558990011980088,3830.34,2024-12-01 02:35:27,101.99.79.154,Travel
TXN-11122,FR1683257848990227010070774,FR3753255540861936156281646,2528.65,2025-10-01 01:14:44,192.168.X.X,Restaurant
TXN-4961,FR7170565126653052685952421,FR4621581672513242421206149,2161.05,2025-04-11 17:32:33,197.88.226.108,Tech
TXN-7649,FR3180790678156526093087614,FR1048888863827955292059226,7130.61,2025-09-21 16:35:50,219.144.54.191,Unknown
TXN-13327,FR4005092372264233980107527,FR4441433984170043096147651,9819.11,2025-08-05 04:20:45,181.81.95.113,Unknown
TXN-13254,FR8874588846505281891702966,FR8610503451490172336126076,7877.24,2025-03-10 04:50:32,8.81.176.143,Travel
TXN-2191,FR2265967570353087063494523,FR2785951737539879345302927,8507.22,2025-04-18 13:38:02,180.66.13.5,Travel
TXN-1427,FR7701902092694281269863096,FR0373276221891507931286758,7161.92,2025-09-14 01:10:17,99.9.246.160,
TXN-10921,FR3383533914684708546748312,FR7554390051315592749594410,7258.74,2024-11-23 12:04:02,194.67.173.30,Restaurant
TXN-1906,FR6241003197761370865340001,FR6214332845305733879287973,7595.56,2025-03-11 04:12:21,,Tech
TXN-12056,FR4917506232530241662901056,FR6053041779629460083361861,3760.73,2025-01-19 23:32:32,33.121.219.251,Tech
TXN-9128,FR3976759143671066553040277,FR1224938654758129670386815,9971.34 €,2025-07-11 12:52:41,175.61.68.199,Unknown
TXN-14778,FR4519080464960732266418520,FR8000681090697926817811638,2517.28,2024-11-17 07:39:47,1.112.253.244,
TXN-1208,FR0794008605612255864271312,FR2350476557287424260676136,"7487,8",2025-03-17 00:29:35,192.11.159.15,Unknown
TXN-10823,FR4071263407128927362644716,FR7272240436197832508186224,3470.39,2025-07-14 22:36:41,105.24.25.246,Unknown
TXN-3716,FR4269140299509127717989536,FR6329269445744491070680437,8260.21,2025-03-01 23:30:01,49.29.90.106,
TXN-9510,FR2734173015733526196289813,FR7558568290047523846962819,4623.96,2025-01-13 23:09:51,12.222.27.89,Gambling
TXN-969,FR8080333634260973659124357,FR4850175462238392744294379,4762.43,2025-09-08 19:34:41,152.190.227.164,Gambling
TXN-9238,FR9817498265585980283895435,FR9551989046066129733207543,9190.84,2025-05-20 22:49:21,12.44.163.246,Gambling
TXN-12791,FR2569584279107565723665369,FR2279264802273062608789726,6044.48,2025-09-17 16:14:39,111.82.187.174,Unknown
TXN-2615,FR5826214467706694556634063,FR0891857310877298747797747,,2025-06-24 23:06:44,214.156.26.229,Travel
TXN-11344,FR7456941876705973911010487,FR0413546745885859065007330,9483.74,2025-06-07 18:36:21,::1,Tech
TXN-7375,FR6953109359403862866286436,FR5461433421234551220207330,9669.41 €,2025-11-03 23:06:47,18.183.170.72,Tech
TXN-3665,FR2788593652902845244296937,FR5465733809100559964098963,3607.23,2025-02-08 17:50:27,181.1.96.127,Travel
TXN-12961,FR6897646905132133370208770,FR8941167211916654923003065,6415.46,2024-12-03 02:02:56,52.83.27.62,
TXN-8075,FR4745785911375233420176439,FR1392049292236731620319561,4158.91,2024-12-04 09:07:15,,Travel
TXN-2918,FR4404637377714686258954787,FR6933006531847174464995837,3448.12,2025-07-23 13:47:12,9.90.208.164,Supermarket
TXN-10576,FR7201919872775057803733174,FR4306843879597735792452010,5816.46,2025-10-04 08:38:13,131.11.188.206,Gambling
TXN-13725,FR7110785651621123833940252,FR3282255015953362567536233,2232.88,2025-09-13 01:14:50,158.185.50.68,Unknown
TXN-10336,FR2291202959021320279417807,FR1077197889572537786989374,-7091.63,2024-11-21 06:15:24,88.206.16.180,Tech
TXN-7411,FR0502034630734212481959729,FR9531893062565301970273377,7363.26,2025-06-10 09:06:43,161.165.129.48,Gambling
TXN-7803,FR0977583904828682137465664,FR7018901926255261694413149,9639.37,2025-10-29 00:37:17,54.195.25.78,Tech
TXN-5608,FR5854334914723536363776570,FR1497515844618407749808857,6228.28,2025-05-29 22:39:12,89.67.186.154,Unknown
TXN-10762,FR6295195762530566443093249,FR4206051329247964435123620,116.95,2025-01-21 03:42:40,,Travel
TXN-2431,FR2146655032478327727464322,FR5049102738649258976270869,1288.63,2025-04-10 08:12:00,5.82.192.153,
TXN-11682,FR4509622441854230214056390,FR3473894530211559015356998,560.32,2025-07-15 21:59:58,166.191.212.226,Tech
TXN-5844,FR2714466330890604580979133,FR1859543352711997611406740,7533.42,2025-03-22 10:29:08,179.205.78.135,Supermarket
TXN-11737,FR1951739402876483717784322,FR4337680272336084447903507,5321.83,2025-01-21 10:04:00,88.8.41.36,Restaurant
TXN-13266,FR2130130697594281854205486,FR2846515870561471428937135,6065.93,2024-12-02 20:25:29,68.163.198.169,Tech
TXN-2968,FR7652976139569318913482941,FR1760024624291925345774898,5583.72,2025-06-14 14:21:13,159.229.197.212,Restaurant
TXN-14160,FR2231100450536278490273063,FR0931297583496704420092909,9330.11,2025-04-23 14:01:05,::1,Restaurant
TXN-14768,FR8481552111829311957545067,FR6820941605329215262106121,4304.48,2025-06-15 19:35:50,194.38.24.75,
TXN-9467,FR5924940647365266752872923,FR9564600482299561569321221,1919.2,2024-11-14 03:27:24,192.168.X.X,Gambling
TXN-9491,FR6331044538956467678312433,FR3405861642001654774950323,510.42,2025-08-29 19:03:36,72.129.197.160,Tech
TXN-12385,FR7710338910905567147082364,FR2825777236926242528475809,1825.74,2025-10-17 06:40:59,70.101.32.26,
TXN-3721,FR0409936922840529800337560,FR3672367574196600572404683,7466.61,2024-11-23 17:26:31,150.175.44.198,
TXN-706,FR2908741323563336647558595,FR2703950757390066680789021,1802.36,2025-07-18 23:20:17,82.88.243.93,Gambling
TXN-13953,FR2767683513763947519469917,FR7282184462017612898300626,,2024-12-22 12:50:06,215.24.63.31,Restaurant
TXN-10965,FR5946598888756404822058707,FR9442663673743695351485557,"1221,81",2025-07-27 07:51:49,56.142.192.7,Travel
TXN-12195,FR8089680234508258144537149,FR8741722264989099878212681,9551.63,2024-12-30 20:55:33,143.214.153.2,Supermarket
TXN-2277,FR0825523005592991275501512,FR0220386362189573319640108,7019.19,2025-02-20 09:27:33,40.27.237.147,Tech
TXN-6728,FR4699498491000443492778966,FR8964311484067918461922899,4543.48,2025-02-07 23:23:59,208.133.245.204,Unknown
TXN-14090,FR8269645412935039232283285,FR5724776412252210198789983,39.41,2025-06-28 02:28:15,205.245.48.170,Supermarket
TXN-11369,FR9211775315491760729351589,FR8885741763991271805381825,4446.57,2025-03-01 05:28:03,77.116.129.70,Supermarket
TXN-4124,FR4905917419480253217194594,FR4093350995310768745648318,9721.11,2025-09-26 02:18:26,::1,Supermarket
TXN-14044,FR3446488378752261980508047,FR7683520718822346013046128,,2025-06-14 04:39:59,205.169.207.72,Tech
TXN-8591,FR3158075128438768660421754,FR5959315486803738235167775,2277.86,2025-06-04 11:39:33,202.83.52.255,Gambling
TXN-13571,FR1437293037692774109657244,FR5565498469138998734820228,4374.15,2025-01-16 19:12:12,69.253.30.251,Tech
TXN-2377,FR6153473492252974347554432,FR7673336381261471010638567,4729.72,2025-04-25 13:06:42,149.203.251.25,Restaurant
TXN-1725,FR4684484630503047660945807,FR1433877715446221413094717,4195.6,2025-11-09 03:59:40,148.139.51.54,Unknown
TXN-4522,FR6118835992065459975104682,FR5534457662622859866305243,8102.76,2025-06-05 14:40:01,52.5.95.230,Unknown
TXN-11151,FR2290491136861143451961234,FR6461307725525567991349581,1106.53,2025-06-02 17:51:02,Localhost,Tech
TXN-13918,FR0999158763867212112740212,FR8204064282846110573752924,,2025-11-06 13:03:18,216.48.170.11,Supermarket
TXN-7273,FR3250889129108665507320921,FR2669867209412654810148747,4944.84,2024-11-20 11:28:02,134.36.251.207,Tech
TXN-10984,FR8915650553780282125117958,FR6953725863411703238590279,5505.2,2025-01-15 09:44:46,118.186.89.102,Travel
TXN-10137,FR3897733806458998599823526,FR3986094965810018699352335,2774.26,2025-06-21 01:49:51,63.243.30.140,Travel
TXN-12293,FR3180940414562720464491745,FR4048636146848742407261772,1319.86,2025-09-23 18:34:34,161.229.8.220,Tech
TXN-1543,FR7119838587881678834893352,FR0212426026623332889105879,,2025-11-10 13:18:02,151.232.147.228,Unknown
TXN-647,FR5307028663603393769121899,FR2587735275276688568009141,8735.01,2025-07-25 03:48:19,18.228.177.33,Supermarket
TXN-2705,FR3648867009460130343870222,FR0674248084326517411300303,4607.32,2025-06-23 05:48:02,161.37.152.188,Tech
TXN-4914,FR5176195823392089779760564,FR1348568135530067955312453,3262.4,2025-02-04 21:41:01,184.104.180.69,Travel
TXN-11922,FR2630617492929652367808649,FR4479798098426685340534802,916.17,2025-07-23 00:48:55,63.70.111.121,Travel
TXN-4336,FR3058856586731848084900777,FR6246705975262970658407403,"4619,61",2025-02-14 20:23:42,143.199.60.189,Unknown
TXN-3637,FR5885385322499668698187537,FR0471606710378676791496704,-6352.33,2025-10-10 06:13:14,210.13.139.19,Restaurant
TXN-2140,FR2909080215133044926140273,FR8354015991241756283788107,,2025-06-18 10:25:18,180.10.131.156,Unknown
TXN-386,FR8078838218394842473169880,FR1951593410642247587988097,7792.12,2025-11-05 15:14:02,151.114.247.30,Supermarket
TXN-4736,FR9153190266601250239505144,FR3657824554637171340889051,5246.76,2025-05-22 00:43:33,162.250.201.61,Gambling
TXN-10734,FR3419092982605307742376925,FR7239792107695933634098374,9677.51,2024-12-23 05:41:21,32.206.25.129,Restaurant
TXN-8188,FR9259266326100636617606104,FR3904342466596577278989782,15.45,2025-10-18 03:47:00,216.225.209.66,
TXN-4790,FR3022203155167229289349589,FR0451301923372347004303094,8483.95,2025-01-30 19:53:19,112.235.144.207,Unknown
TXN-4471,FR6411146690638185082889475,FR7401749339245995675701447,3936.83,2025-04-26 22:48:51,160.128.220.201,Gambling
TXN-3694,FR0302810245851911993602298,FR7272668427668134072751512,-4387.11,2025-08-13 09:14:34,210.225.10.155,Travel
TXN-336,FR9632880240026344638567754,FR9550931670695882618651522,3309.48,2025-09-18 07:00:37,121.100.170.43,Supermarket
TXN-10554,FR2291141829825942647935049,FR6827710565663800704137896,4252.52 €,2025-06-05 01:37:37,117.53.115.91,Travel
TXN-809,FR1627116851014460987428597,FR7973118795333876791331653,5901.88,2025-10-07 00:10:25,::1,Tech
TXN-6316,FR6054148056670867250104562,FR6525031290590356745264290,3492.73,2025-11-08 07:23:23,69.28.131.151,Tech
TXN-4091,FR8448450911271420899285725,FR4612288862324573850755694,3162.74,2025-07-22 17:43:07,177.73.213.3,Restaurant
TXN-9778,FR9095742708969048962663297,FR6167068175360988179773990,9052.81,2025-04-11 01:29:06,56.141.173.64,Tech
TXN-11542,FR8630473097752896763436336,FR9283635301841120217318466,2294.18,2025-08-21 11:42:22,219.213.131.226,Gambling
TXN-9994,FR2023862882596695689098320,FR1775930386600914737037767,6101.61,2025-07-22 16:31:54,101.19.107.50,Gambling
TXN-7658,FR8904315154816424673236821,FR5459787485152142719389136,8123.49,2025-08-21 13:20:51,7.230.117.224,Restaurant
TXN-5690,FR3112263198226868192771023,FR9230213590871856160614065,5361.99,2024-12-28 22:37:52,13.41.73.14,Gambling
TXN-424,FR7106533603810235779652835,FR0737921617581606647175287,778.42,2025-10-29 03:28:33,97.38.160.143,Unknown
TXN-3799,FR3386957186989952534822005,FR5134622782065734483054131,8423.47,2024-12-13 22:52:27,146.88.183.154,Travel
TXN-2251,FR8079711307122249481454240,FR9102723967184903065714670,5148.28,2025-10-03 09:35:53,54.33.96.208,Tech
TXN-90,FR9235629471810722037769608,FR6042945772361205257860798,4067.75,2025-07-29 06:00:37,207.6.88.144,Travel
